Habitat,Site name,Average of AGB (g/m2),AGB (g DW m-2),AGCorg (Mg C ha-1),AGCorg (Mg C ha-1),Average of BGB (g/m2),BGB (g DW m-2),BGCorg (Mg C ha-1),BGCorg (Mg C ha-1)
Mangrove fringed shoreline,Chale ,0.143,50.60155697,17.20452937,0.172045294,1.421,502.8308563,170.9624912,1.709624912
Mangrove fringed shoreline,Chale ,0.967,342.1797594,116.3411182,1.163411182,0.3,106.1571125,36.09341826,0.360934183
Mangrove fringed shoreline,Chale ,1.05,371.5498938,126.3269639,1.263269639,5.827,2061.924982,701.054494,7.01054494
Mangrove fringed shoreline,Chale ,0.504,178.343949,60.63694268,0.606369427,3.676,1300.778485,442.2646851,4.422646851
Mangrove fringed shoreline,Chale ,0.546,193.2059448,65.69002123,0.656900212,0.216,76.43312102,25.98726115,0.259872611
Mangrove fringed shoreline,Chale ,4.062,1437.367304,488.7048832,4.887048832,5.09,1801.132343,612.3849965,6.123849965
Mangrove fringed shoreline,Chale ,0.248,87.75654636,29.83722576,0.298372258,1.299,459.6602972,156.2845011,1.562845011
Mangrove fringed shoreline,Chale ,1.05,371.5498938,126.3269639,1.263269639,5.827,2061.924982,701.054494,7.01054494
Mangrove fringed shoreline,Chale ,5.827,2061.924982,701.054494,7.01054494,10.924,3865.534324,1314.28167,13.1428167
Mangrove fringed shoreline,Chale ,0.947,335.1026185,113.9348903,1.139348903,9.318,3297.239915,1121.061571,11.21061571
Mangrove fringed shoreline,Chale ,1.273,450.4600142,153.1564048,1.531564048,12.907,4567.232838,1552.859165,15.52859165
Lagoon coast,kichanga cha mabawa,2.534,896.6737438,304.8690729,3.048690729,0.774,273.8853503,93.12101911,0.931210191
Lagoon coast,Kichanga cha mabawa,9.242,3270.34678,1111.917905,11.11917905,0.586,207.3602265,70.502477,0.70502477
Lagoon coast,Kichanga cha mabawa,1.634,578.2024062,196.5888181,1.965888181,12.327,4361.995754,1483.078556,14.83078556
Lagoon coast,Kichanga cha mabawa,1.501,531.1394197,180.5874027,1.805874027,8.927,3158.881812,1074.019816,10.74019816
Lagoon coast,Kichanga cha mabawa,1.397,494.3382873,168.0750177,1.680750177,10.227,3618.895966,1230.424628,12.30424628
Lagoon coast,Kichanga cha mabawa,1.698,600.8492569,204.2887473,2.042887473,9.782,3461.429582,1176.886058,11.76886058
Lagoon coast,Kichanga cha mabawa,1.917,678.343949,230.6369427,2.306369427,4.633,1639.419674,557.4026893,5.574026893
Lagoon coast,Kichanga cha mabawa,3.17,1121.726822,381.3871196,3.813871196,3.775,1335.810333,454.1755131,4.541755131
Lagoon coast,The cove ,0.743,262.915782,89.39136589,0.893913659,7.055,2496.46143,848.7968861,8.487968861
Lagoon coast,The cove ,0.959,339.348903,115.378627,1.15378627,0.07,24.76999292,8.421797594,0.084217976
Lagoon coast,The cove ,3.717,1315.286624,447.1974522,4.471974522,2.219,785.2087757,266.9709837,2.669709837
Lagoon coast,The cove ,2.734,967.4451522,328.9313517,3.289313517,8.368,2961.075725,1006.765747,10.06765747
Lagoon coast,The cove ,3.372,1193.205945,405.6900212,4.056900212,0.103,36.4472753,12.3920736,0.123920736
Lagoon coast,The cove ,2.828,1000.707714,340.2406228,3.402406228,13.419,4748.407643,1614.458599,16.14458599
Lagoon coast,The cove ,0.599,211.960368,72.06652512,0.720665251,2.637,933.1210191,317.2611465,3.172611465
Lagoon coast,The cove ,1.024,362.3496108,123.1988677,1.231988677,4.4,1556.970984,529.3701345,5.293701345
Lagoon coast,Kinondo Kwetu,4.1,1450.813871,493.2767162,4.932767162,0.774,273.8853503,93.12101911,0.931210191
Lagoon coast,Kinondo Kwetu,4.787,1693.913659,575.930644,5.75930644,22.424,7934.890304,2697.862703,26.97862703
Lagoon coast,Kinondo Kwetu,1.846,653.2200991,222.0948337,2.220948337,35.294,12489.03043,4246.270347,42.46270347
Lagoon coast,Kinondo Kwetu,1.766,624.9115357,212.4699222,2.124699222,23.03,8149.327672,2770.771408,27.70771408
Lagoon coast,Kinondo Kwetu,7.302,2583.864119,878.5138004,8.785138004,0.302,106.8648266,36.33404105,0.36334041
Lagoon coast,Kinondo Kwetu,1.003,354.9186129,120.6723284,1.206723284,9.359,3311.748054,1125.994338,11.25994338
Lagoon coast,Kinondo Kwetu,6.198,2193.205945,745.6900212,7.456900212,43.399,15357.04176,5221.394197,52.21394197
Lagoon coast,Kinondo Kwetu,1.003,354.9186129,120.6723284,1.206723284,9.359,3311.748054,1125.994338,11.25994338
Lagoon coast,Jadini,1.987,703.113942,239.0587403,2.390587403,8.958,3169.85138,1077.749469,10.77749469
Lagoon coast,Jadini,3.643,1289.101203,438.2944091,4.382944091,3.853,1363.411182,463.5598018,4.635598018
Lagoon coast,Jadini,1.034,365.8881812,124.4019816,1.244019816,0.335,118.542109,40.30431706,0.403043171
Lagoon coast,Jadini,3.553,1257.254069,427.4663836,4.274663836,2.469,873.6730361,297.0488323,2.970488323
Lagoon coast,Jadini,1.832,648.2661005,220.4104742,2.204104742,4.467,1580.679406,537.4309979,5.374309979
Lagoon coast,Jadini,2.569,909.0587403,309.0799717,3.090799717,0.8,283.0856334,96.24911536,0.962491154
Lagoon coast,Jadini,2.519,891.3658882,303.064402,3.03064402,5.73,2027.600849,689.3842887,6.893842887
Lagoon coast,Jadini,0.931,329.4409059,112.009908,1.12009908,1.749,618.895966,210.4246285,2.104246285
Sandy river mouth,Southern palms,2.594,917.9051663,312.0877565,3.120877565,0.158,55.9094126,19.00920028,0.190092003
Sandy river mouth,Southern palms,5.008,1772.116065,602.5194621,6.025194621,1.301,460.3680113,156.5251238,1.565251238
Sandy river mouth,Southern palms,0.748,264.6850672,89.99292286,0.899929229,0.344,121.7268224,41.3871196,0.413871196
Sandy river mouth,Southern palms,0.211,74.66383581,25.38570418,0.253857042,0.135,47.77070064,16.24203822,0.162420382
Sandy river mouth,Southern Palms,1.666,589.5258316,200.4387827,2.004387827,1.178,416.8435952,141.7268224,1.417268224
Sandy river mouth,Southern Palms,4.888,1729.65322,588.0820948,5.880820948,1.178,416.8435952,141.7268224,1.417268224
Sandy river mouth,Southern Palms,8.518,3014.154282,1024.812456,10.24812456,0.713,252.3000708,85.78202406,0.857820241
Sandy river mouth,Southern Palms,10.741,3800.778485,1292.264685,12.92264685,4.495,1590.587403,540.7997169,5.407997169
Tourist hotels,Flamboyant,2.488,880.3963199,299.3347488,2.993347488,0.831,294.0552017,99.97876858,0.999787686
Tourist hotels,Flamboyant,2.209,781.6702052,265.7678698,2.657678698,3.467,1226.822364,417.1196037,4.171196037
Tourist hotels,Flamboyant,5.076,1796.178344,610.7006369,6.107006369,9.488,3357.395612,1141.514508,11.41514508
Tourist hotels,Flamboyant,3.791,1341.472045,456.1004954,4.561004954,0.938,331.9179052,112.8520878,1.128520878
Tourist hotels,Flamboyant,3.044,1077.140835,366.2278839,3.662278839,1.96,693.5598018,235.8103326,2.358103326
Tourist hotels,Flamboyant,2.591,916.8435952,311.7268224,3.117268224,1.976,699.2215145,237.7353149,2.377353149
Tourist hotels,Flamboyant,2.368,837.9334749,284.8973815,2.848973815,1.317,466.029724,158.4501062,1.584501062
Tourist hotels,Baobab,3.848,1361.641897,462.9582449,4.629582449,0.503,177.990092,60.51663128,0.605166313
Tourist hotels,Baobab,1.778,629.1578202,213.9136589,2.139136589,1.157,409.4125973,139.2002831,1.392002831
Tourist hotels,Baobab,2,707.7140835,240.6227884,2.406227884,1.67,590.9412597,200.9200283,2.009200283
Tourist hotels,Baobab,3.154,1116.06511,379.4621373,3.794621373,2.788,986.5534324,335.428167,3.35428167
Tourist hotels,Baobab,3.147,1113.58811,378.6199575,3.786199575,1.178,416.8435952,141.7268224,1.417268224
Tourist hotels,Baobab,2.474,875.4423213,297.6503892,2.976503892,0.493,174.4515216,59.31351734,0.593135173
Tourist hotels,Baobab,3.083,1090.94126,370.9200283,3.709200283,2.015,713.0219391,242.4274593,2.424274593
Tourist hotels,Baobab,3.154,1116.06511,379.4621373,3.794621373,2.788,986.5534324,335.428167,3.35428167
Tourist hotels,Diani Sea Resort,2.199,778.1316348,264.5647558,2.645647558,1.703,602.6185421,204.8903043,2.048903043
Tourist hotels,Diani Sea Resort,3.185,1127.034678,383.1917905,3.831917905,2.761,976.9992923,332.1797594,3.321797594
Tourist hotels,Diani Sea Resort,6.198,2193.205945,745.6900212,7.456900212,4.126,1460.014154,496.4048125,4.964048125
Tourist hotels,Diani Sea Resort,3.105,1098.726115,373.566879,3.73566879,3.441,1217.622081,413.9915074,4.139915074
Tourist hotels,Diani Sea Resort,6.496,2298.655343,781.5428167,7.815428167,10.464,3702.760085,1258.938429,12.58938429
Tourist hotels,Diani Sea Resort,5.59,1978.060863,672.5406936,6.725406936,2.301,814.2250531,276.836518,2.76836518
Tourist hotels,Diani Sea Resort,2.349,831.2101911,282.611465,2.82611465,4.167,1474.522293,501.3375796,5.013375796
Tourist hotels,Diani Sea Resort,1.141,403.7508846,137.2753008,1.372753008,3.741,1323.779193,450.0849257,4.500849257
Tourist hotels,Neptune,1.366,483.368719,164.3453645,1.643453645,0.119,42.10898797,14.31705591,0.143170559
Tourist hotels,Neptune,7.462,2640.481246,897.7636235,8.977636235,7.002,2477.707006,842.4203822,8.424203822
Tourist hotels,Neptune,2.941,1040.69356,353.8358103,3.538358103,6.83,2416.843595,821.7268224,8.217268224
Tourist hotels,Neptune,2.986,1056.617127,359.2498231,3.592498231,1.031,364.82661,124.0410474,1.240410474
Tourist hotels,Neptune,2.576,911.5357396,309.9221515,3.099221515,14.603,5167.374381,1756.907289,17.56907289
Tourist hotels,Neptune,16.912,5984.43029,2034.706299,20.34706299,2.047,724.3453645,246.2774239,2.462774239
Tourist hotels,Neptune,0.998,353.1493277,120.0707714,1.200707714,8.171,2891.365888,983.064402,9.83064402
Tourist hotels,Neptune,1.079,381.8117481,129.8159943,1.298159943,6.114,2163.481953,735.5838641,7.355838641
Tourist hotels,Neptune,3.829,1354.918613,460.6723284,4.606723284,1.031,364.82661,124.0410474,1.240410474
